x1,x2,x3,x4,x5,x6,y
-24.29943,-120.97624,1303579911,100.1023686,690.6121024,193.2779586,597.0815036
33.68994,-87.78776,1392571644,99.57602833,681.2412271,201.7793026,601.1507798
73.24937,146.5522,1274497080,97.50714062,702.5647232,202.3463813,602.4443632
-24.0328,-50.35384,1512375802,100.1374174,673.2447298,196.897541,590.5141962
-59.8022,-68.48529,1470067444,99.7288205,683.2589605,195.6334213,599.6744542
-83.22278,-164.99814,1354609021,101.2428503,705.5737655,203.5006716,598.1428409
84.83123,-66.72033,1321172337,99.84311762,690.4830838,199.8173937,596.3352267
-59.58731,-37.80834,1461156880,101.7699205,673.3887549,203.7048161,598.0357272
-66.77738,-166.46722,1437333373,100.4369878,712.8199776,206.4575513,604.4423887
-7.45161,87.06464,1323880887,102.9173576,718.0734188,202.7057764,596.2576671
28.44391,-39.713,1304014433,100.4201926,707.1106224,198.7482936,598.7570868
-28.30372,-58.68673,1494370488,100.9968133,697.0869919,198.9081742,596.0489512
72.42267,-150.05108,1384333922,99.45783975,708.0726111,205.0438163,610.8547767
19.80194,132.01966,1465083699,102.1035507,708.9501161,207.836829,611.8129888
80.05649,4.22518,1304149773,99.95704336,717.8419529,200.3105413,600.3176786
-7.534,146.40578,1319272082,97.25883224,702.9904824,195.8119755,595.2669566
-20.3303,136.90836,1412031212,99.84900958,692.1191547,200.2916445,594.9254303
-83.48708,-33.43443,1319799642,98.07083506,704.0704579,199.7935601,605.6574713
12.32247,81.87672,1349771762,100.3734613,704.1751276,201.8318598,596.2292878
8.37019,-14.95607,1384435265,101.0924643,674.0977371,204.3880958,602.8474607
47.79209,-22.99249,1465568501,98.57752216,679.282225,205.5862586,592.7129422
-52.85033,-20.06227,1419005211,101.485162,730.2553693,194.705702,603.3525867
-63.04697,171.69787,1404648354,100.4444606,695.9478625,197.4069482,590.9190794
-62.12157,8.67912,1318606840,101.0231485,718.0993288,197.9671708,604.2653886
-86.92471,-52.62607,1312135368,100.1568096,723.2550467,204.0668639,602.7014098
-47.43563,-72.93698,1361115375,100.1354928,702.6081839,197.5415778,595.4170501
-41.85581,174.9012,1330163660,102.0013775,714.5577224,200.2140334,595.8980718
-36.99409,61.1654,1337830701,100.2723955,708.8254761,204.8459016,604.3548902
34.8802,8.66281,1424491042,100.0974308,701.5029926,198.1187853,597.4947232
12.38483,-30.90776,1411695389,98.95653176,710.8245261,194.8610242,592.6623014
-76.4727,-97.68045,1393886590,99.71905781,731.9840771,203.4412426,606.5694184
-7.67838,16.10385,1333720534,99.56713639,691.9883883,203.9236033,590.6438802
48.17778,-102.72752,1412528891,102.3938582,688.051124,205.406093,608.8492798
-43.606,82.71106,1287931307,101.1479187,699.2448602,197.4591676,597.0413024
6.785,39.36384,1380107582,103.5034905,695.1208434,198.7289305,599.1877865
6.30754,-39.30233,1282573488,101.6858296,714.6377397,195.7024989,599.5491114
-65.11283,-145.68732,1392089363,102.834602,683.0078649,204.3009796,603.7110142
-84.49274,51.83552,1306329554,101.9309327,697.0447894,193.9934159,606.9302945
13.64161,-40.79479,1284971773,98.68640609,695.2760602,206.0729525,586.4356886
-42.57293,99.91863,1341912969,100.734208,697.5666675,204.1024842,591.1031919
87.16897,-19.48061,1388413048,97.81691188,684.3861555,206.4776019,604.8991589
-24.05925,75.84856,1437344359,101.7712957,699.0923754,193.752362,601.4324559
-40.68412,140.55939,1316946520,103.8833501,704.3744795,198.9696084,596.967536
-22.80017,-162.24798,1301924946,101.3776898,707.1133342,206.6011743,609.8690885
-16.11051,-28.80473,1281617649,101.0672251,692.4099978,198.4756115,602.6523313
44.94703,2.33835,1405776978,100.9073503,709.8547133,200.415445,601.3190939
